#{"t_start": 1769799961.743017, "env_id": "None"}
r,l,t
911.0,20,0.722289
643.0,14,0.904756
929.0,22,1.264702
417.0,7,1.355325
1250.0,36,1.998047
1064.0,23,2.315063
838.0,23,2.630778
565.0,12,2.835341
593.0,16,3.043499
639.0,14,3.216106
1125.0,29,3.714996
1570.0,45,4.6067
576.0,16,4.784689
1261.0,43,5.705575
589.0,15,5.899515
1233.0,28,6.377271
702.0,13,6.584231
564.0,13,6.755559
490.0,11,6.873026
333.0,7,6.966065
747.0,16,7.169093
978.0,37,7.846528
606.0,13,7.993594
976.0,33,8.640553
686.0,21,8.891683
790.0,18,9.108838
734.0,15,9.341739
879.0,21,9.716312
1194.0,34,10.229433
872.0,26,10.611299
1074.0,28,11.019104
1092.0,30,11.49706
915.0,15,11.710132
395.0,12,11.840784
1035.0,26,12.254182
759.0,21,12.57289
853.0,25,12.905407
1034.0,23,13.244423
1320.0,46,14.151729
891.0,23,14.520301
683.0,24,14.81937
624.0,9,14.933767
707.0,13,15.166632
714.0,11,15.331019
675.0,11,15.521596
758.0,12,15.658549
1294.0,37,16.263426
532.0,18,16.487821
595.0,17,16.749172
760.0,21,16.991316
1035.0,20,17.384453
1234.0,25,17.770718
656.0,13,17.935585
1284.0,33,18.531559
911.0,22,18.818792
1494.0,45,19.669166
725.0,10,19.77258
1111.0,23,20.071264
882.0,19,20.314931
772.0,17,20.544492
773.0,18,20.793517
660.0,10,20.902634
749.0,19,21.209168
562.0,12,21.404997
851.0,22,21.78291
629.0,8,21.874127
770.0,17,22.121675
402.0,17,22.324702
586.0,9,22.449851
1004.0,25,22.823394
764.0,13,23.000853
1621.0,46,23.864037
596.0,22,24.21561
818.0,20,24.490134
705.0,24,24.785652
537.0,16,25.00609
986.0,31,25.527207
1558.0,42,26.29761
1196.0,34,26.926136
634.0,23,27.312492
381.0,17,27.523253
533.0,8,27.641109
575.0,8,27.736924
449.0,11,27.87821
729.0,15,28.036483
949.0,26,28.46814
847.0,28,28.985562
766.0,13,29.19061
759.0,18,29.470637
849.0,24,29.821104
1141.0,33,30.498033
822.0,14,30.665048
804.0,28,31.127173
504.0,10,31.258021
700.0,27,31.694233
498.0,15,31.862189
472.0,14,32.031082
471.0,11,32.17029
1339.0,45,35.47452
623.0,9,35.625353
667.0,25,35.98742
733.0,21,36.282672
447.0,12,36.439423
419.0,17,36.666816
738.0,15,36.888752
723.0,20,37.111446
638.0,15,37.281715
500.0,12,37.457828
582.0,11,37.639591
775.0,18,37.878166
527.0,11,38.023773
1364.0,42,38.721943
673.0,9,38.85243
467.0,14,39.06114
890.0,17,39.2733
1146.0,31,39.769374
703.0,11,39.932132
665.0,11,40.071519
484.0,7,40.153386
1523.0,45,41.020338
1263.0,43,42.044865
783.0,28,42.600692
1433.0,44,43.656256
737.0,17,43.960725
840.0,16,44.146384
533.0,13,44.313016
977.0,25,44.703417
641.0,14,44.886928
755.0,32,45.636074
938.0,29,46.165595
469.0,11,46.307899
904.0,27,46.822901
886.0,17,47.082452
663.0,12,47.208014
1017.0,30,47.643742
1196.0,27,48.077876
964.0,25,48.43843
691.0,20,48.711958
1878.0,47,49.797758
869.0,16,49.980467
319.0,7,50.0951
1218.0,40,50.88298
828.0,30,51.345004
816.0,18,51.64571
781.0,21,52.042492
517.0,18,52.247842
565.0,10,52.362884
568.0,16,52.584719
980.0,33,53.257114
1245.0,36,53.869306
493.0,12,54.03022
645.0,14,54.214301
703.0,13,54.389023
1097.0,34,55.027547
1027.0,23,55.447683
692.0,22,55.718032
577.0,17,55.885119
747.0,15,56.052833
1056.0,25,56.481693
472.0,12,56.62873
1447.0,45,57.568864
726.0,10,57.686163
912.0,28,58.121784
1365.0,46,59.189734
1661.0,46,60.016604
1268.0,29,60.505036
514.0,8,60.629614
1105.0,35,61.209508
653.0,11,61.368548
783.0,20,61.648758
492.0,13,61.810608
879.0,22,62.267786
847.0,23,62.5913
817.0,14,62.780564
518.0,10,62.902214
678.0,12,63.042894
455.0,11,63.172243
623.0,14,63.333465
803.0,17,63.557004
945.0,30,63.968318
996.0,22,64.247179
1549.0,45,65.074965
833.0,23,65.419727
375.0,9,65.528474
657.0,11,65.727411
690.0,26,66.113416
794.0,14,66.27546
713.0,13,66.493378
561.0,12,66.638099
715.0,18,66.899002
959.0,27,67.535329
942.0,22,67.892657
1252.0,31,68.341333
567.0,9,68.508691
671.0,15,70.768232
559.0,9,70.907154
819.0,21,71.229513
732.0,9,71.364469
468.0,15,71.531056
509.0,12,71.689963
883.0,15,71.91258
424.0,9,72.023879
1458.0,41,72.772282
471.0,9,72.883125
1317.0,35,73.539325
828.0,19,73.847453
1121.0,22,74.24224
